index,group_1.0
0,62.46778
1,62.46778
2,62.31318
3,62.46778
4,62.40152
5,62.578228
6,62.31318
7,62.489872
8,62.31318
9,62.556137
10,62.291096
11,62.489872
12,62.51196
13,62.489872
14,62.31318
15,62.777058
16,62.523033
17,62.26901
18,62.423607
19,62.39048
20,62.35735
21,62.66659
22,62.456757
23,62.246925
24,62.489872
25,62.412567
26,62.335262
27,62.62241
28,62.611366
29,62.60032
30,62.511963
31,62.423607
32,62.53405
33,62.55614
34,62.578228
35,62.60032
36,62.335262
37,62.372074
38,62.408882
39,62.445694
40,62.379436
41,62.36471
42,62.349987
43,62.335262
44,62.335262
45,62.349987
46,62.36471
47,62.379436
48,62.445698
49,62.51196
50,62.500916
51,62.489872
52,62.412567
53,62.335262
54,62.379433
55,62.423607
56,62.578228
57,62.46778
58,62.335262
59,62.423607
60,62.445694
61,62.688683
62,62.556137
63,62.335262
64,62.31318
65,62.489872
66,62.66659
67,62.423607
68,62.335262
69,62.66659
70,62.379436
71,62.66659
72,62.578228
73,62.246925
74,62.51196
75,62.31318
76,62.66659
77,62.423607
78,62.60032
79,62.335262
80,62.53405
81,62.688683
82,62.489872
83,62.445694
84,62.46778
85,62.335262
86,62.578228
87,62.578228
88,62.60032
89,62.423607
90,62.46778
91,62.60032
92,62.556137
93,62.51196
94,62.445694
95,62.556145
96,62.66659
97,62.46778
98,62.412567
99,62.35735
100,62.40152
101,62.47883
102,62.556137
103,62.379436
104,62.445698
105,62.51196
106,62.37944
107,62.246925
108,62.688683
109,62.633453
110,62.578228
111,62.51196
112,62.423607
113,62.688683
114,62.423607
115,62.423607
116,62.31318
117,62.489872
118,62.754963
119,62.423607
120,62.335262
121,62.412567
122,62.489872
123,62.46778
124,62.48987
125,62.51196
126,62.423607
127,62.556145
128,62.688683
129,62.51196
130,62.545094
131,62.578228
132,62.66659
133,62.500927
134,62.335262
135,62.500927
136,62.66659
137,62.51196
138,62.497234
139,62.482506
140,62.46778
141,62.423607
142,62.423607
143,62.423607
144,62.423607
145,62.35735
146,62.523018
147,62.688683
148,62.51196
149,62.445694
150,62.335262
151,62.66659
152,62.489872
153,62.62241
154,62.865437
155,62.489872
156,62.40152
157,62.18068
158,62.53405
159,62.136513
160,62.489872
161,62.158596
162,62.31318
163,62.556137
164,62.423607
165,62.445694
166,62.335262
167,62.688683
168,62.46778
169,62.31318
170,62.423607
171,62.31318
172,62.60032
173,62.40152
174,62.6445
175,62.578228
176,62.445694
177,62.51196
178,62.379436
179,62.578228
180,62.489872
181,62.578228
182,62.58927
183,62.60032
184,62.489872
185,62.489872
186,62.489872
187,62.40152
188,62.40152
189,62.40152
190,62.35735
191,62.39048
192,62.423607
193,62.688683
194,62.5451
195,62.40152
196,62.412563
197,62.423607
198,62.31318
199,62.39048
200,62.46778
201,62.556137
202,62.526684
203,62.497234
204,62.46778
205,62.40152
206,62.416245
207,62.43097
208,62.445694
209,62.456738
210,62.46778
211,62.48987
212,62.51196
213,62.51196
214,62.51196
215,62.42361
216,62.335262
217,62.412567
218,62.489872
219,62.423607
220,62.53405
221,62.489872
222,62.53405
223,62.46778
224,62.40152
225,62.335262
226,62.489872
227,62.66659
228,62.60032
229,62.51196
230,62.35735
231,62.489872
232,62.60032
233,62.53405
234,62.51196
235,62.688683
236,62.40152
237,62.423607
238,62.31318
239,62.51196
240,62.489872
241,62.26901
242,62.31318
243,62.31318
244,62.335262
245,62.6445
246,62.31318
247,62.423607
248,62.246925
249,62.445694
250,62.754963
251,62.51196
252,62.51196
253,62.545094
254,62.578228
255,62.500916
256,62.423607
257,62.46778
258,62.51196
259,62.545094
260,62.578228
261,62.478832
262,62.379436
263,62.423607
264,62.379436
265,62.489872
266,62.40152
267,62.578228
268,62.335262
269,62.66659
270,62.335262
271,62.60032
272,62.26901
273,62.46778
274,62.489872
275,62.31318
276,62.31318
277,62.335262
278,62.865437
279,62.40152
280,62.489872
281,62.556137
282,62.53405
283,62.489872
284,62.335262
285,62.60032
286,62.423607
287,62.379436
288,62.6445
289,62.578228
290,62.246925
291,62.51196
292,62.6445
293,62.66659
294,62.46778
295,62.20276
296,62.6445
297,62.423607
298,62.224842
299,62.51196
300,62.53405
301,62.423615
302,62.31318
303,62.31318
304,62.368393
305,62.423607
306,62.53405
307,62.511963
308,62.489872
309,62.60032
310,62.578228
311,62.556137
312,62.66659
313,62.611366
314,62.556137
315,62.62241
316,62.48988
317,62.35735
318,62.379433
319,62.40152
320,62.158596
321,62.324234
322,62.489872
323,62.379436
324,62.430973
325,62.482513
326,62.53405
327,62.51196
328,62.445698
329,62.37944
330,62.31318
331,62.31318
332,62.31318
333,62.45675
334,62.60032
335,62.412582
336,62.224842
337,62.412582
338,62.60032
339,62.46778
340,62.35735
341,62.66659
342,62.66659
343,62.51196
344,62.335262
345,62.489872
346,62.35735
347,62.66659
348,62.53405
349,62.291096
350,62.445694
351,62.35735
352,62.51196
353,62.53405
354,62.777058
355,62.423607
356,62.35735
357,62.379436
358,62.51196
359,62.688683
360,62.31318
361,62.53405
362,62.51196
363,62.51196
364,62.31318
365,62.51196
366,62.224842
367,62.578228
368,62.51196
369,62.51196
370,62.66659
371,62.35735
372,62.114433
373,62.46778
374,62.335262
375,62.42361
376,62.51196
377,62.60032
378,62.633453
379,62.66659
380,62.6445
381,62.52301
382,62.40152
383,62.66659
384,62.545097
385,62.423607
386,62.18068
387,62.335274
388,62.489872
389,62.092354
390,62.202766
391,62.31318
392,62.489872
393,62.55614
394,62.62241
395,62.567184
396,62.51196
397,62.688683
398,62.600323
399,62.511967
400,62.423607
401,62.688683
402,62.70341
403,62.71814
404,62.73287
405,62.57824
406,62.423607
407,62.302143
408,62.18068
409,62.235886
410,62.291096
411,62.31318
412,62.335262
413,62.688683
414,62.489872
415,62.66659
416,62.478844
417,62.291096
418,62.478844
419,62.66659
420,62.545097
421,62.423607
422,62.46778
423,62.51196
424,62.40152
425,62.35735
426,62.31318
427,62.556137
428,62.35735
429,62.246925
430,62.40152
431,62.40152
432,62.423607
433,62.556137
434,62.40152
435,62.489872
436,62.556137
437,62.46778
438,62.60032
439,62.26901
440,62.489872
441,62.423607
442,62.60032
443,62.489872
444,62.20276
445,62.324226
446,62.445694
447,62.6445
448,62.379436
449,62.489872
450,62.66659
451,62.46778
452,62.246925
453,62.224842
454,62.51196
455,62.434654
456,62.35735
457,62.489872
458,62.335262
459,62.412567
460,62.489872
461,62.66659
462,62.578236
463,62.489876
464,62.40152
465,62.489872
466,62.53405
467,62.578228
468,62.335262
469,62.46779
470,62.60032
471,62.865437
472,62.578228
473,62.567184
474,62.556137
475,62.688683
476,62.58928
477,62.489872
478,62.335262
479,62.478836
480,62.62241
481,62.60032
482,62.578228
483,62.4457
484,62.31318
485,62.46778
486,62.489872
487,62.445694
488,62.18068
489,62.423607
490,62.66659
491,62.423607
492,62.53405
493,62.51196
494,62.688683
495,62.51196
496,62.53405
497,62.423607
498,62.40152
499,62.62241
500,62.489872
501,62.710777
502,62.423607
503,62.35735
504,62.578228
505,62.489872
506,62.66659
507,62.423607
508,62.18068
509,62.31318
510,62.578228
511,62.40152
512,62.53405
513,62.578228
514,62.489872
515,62.423607
516,62.51196
517,62.423607
518,62.66659
519,62.51196
520,62.60032
521,62.379436
522,62.578228
523,62.62241
524,62.66659
525,62.489872
526,62.500916
527,62.51196
528,62.51196
529,62.47883
530,62.445694
531,62.60032
532,62.58927
533,62.578228
534,62.578228
535,62.666595
536,62.754963
537,62.489872
538,62.633465
539,62.777058
540,62.655556
541,62.53405
542,62.556137
543,62.5635
544,62.570866
545,62.578228
546,62.489872
547,62.497234
548,62.504597
549,62.51196
550,62.46778
551,62.423607
552,62.43465
553,62.445694
554,62.489872
555,62.53405
556,62.511963
557,62.489872
558,62.58928
559,62.688683
560,62.578228
561,62.46778
562,62.66659
563,62.578228
564,62.246925
565,62.423607
566,62.445694
567,62.335262
568,62.62241
569,62.66659
570,62.335262
571,62.578228
572,62.51196
573,62.489872
574,62.423607
575,62.379436
576,62.445694
577,62.6445
578,62.53405
579,62.445694
580,62.51196
581,62.578228
582,62.556137
583,62.445694
584,62.556137
585,62.31318
586,62.51196
587,62.445694
588,62.46778
589,62.55614
590,62.6445
591,62.688683
592,62.60032
593,62.51196
594,62.40152
595,62.50092
596,62.60032
597,62.633453
598,62.66659
599,62.46778
600,62.53405
601,62.60032
602,62.489872
603,62.401527
604,62.31318
605,62.66659
606,62.677635
607,62.688683
608,62.489872
609,62.51196
610,62.53405
611,62.556137
612,62.489872
613,62.497234
614,62.504597
615,62.51196
616,62.500916
617,62.489872
618,62.51196
619,62.688698
620,62.865437
621,62.677654
622,62.489872
623,62.158596
624,62.578228
625,62.489872
626,62.688683
627,62.335262
628,62.66659
629,62.335262
630,62.423607
631,62.62241
632,62.60032
633,62.66659
634,62.51196
635,62.40152
636,62.246925
637,62.40152
638,62.40152
639,62.246925
640,62.423607
641,62.246925
642,62.46778
643,62.35735
644,62.66659
645,62.489872
646,62.158596
647,62.51196
648,62.224842
649,62.53405
650,62.688683
651,62.73287
652,62.578228
653,62.688683
654,62.423607
655,62.578228
656,62.51196
657,62.445694
658,62.688683
659,62.677635
660,62.66659
661,62.777058
662,62.633465
663,62.489872
664,62.445694
665,62.357353
666,62.26901
667,62.489872
668,62.401527
669,62.31318
670,62.50093
671,62.688683
672,62.53405
673,62.33528
674,62.136513
675,62.335262
676,62.298454
677,62.26165
678,62.224842
679,62.20276
680,62.31319
681,62.42362
682,62.53405
683,62.40152
684,62.460423
685,62.519325
686,62.578228
687,62.51196
688,62.45306
689,62.39416
690,62.335262
691,62.489883
692,62.6445
693,62.65555
694,62.66659
695,62.710777
696,62.754963
697,62.743916
698,62.73287
699,62.423607
700,62.66659
701,62.688683
702,62.40152
703,62.31318
704,62.335262
705,62.423607
706,62.224842
707,62.66659
708,62.51196
709,62.335262
710,62.445694
711,62.688683
712,62.489872
713,62.47883
714,62.46778
715,62.60032
716,62.523006
717,62.445694
718,62.136513
719,62.324234
720,62.51196
721,62.6445
722,62.57823
723,62.51196
724,62.335262
725,62.51197
726,62.688683
727,62.423607
728,62.46778
729,62.51196
730,62.390484
731,62.26901
732,62.578228
733,62.269054
734,61.95988
735,62.445694
736,62.46778
737,62.489872
738,62.51196
739,62.26901
740,62.31318
741,62.35735
742,62.40152
743,62.35735
744,62.31318
745,62.368393
746,62.423607
747,62.45674
748,62.489872
749,62.412567
750,62.335262
751,62.556137
752,62.688683
753,62.445694
754,62.60032
755,62.51196
756,62.51196
757,62.114433
758,62.51196
759,62.224842
760,62.335262
761,62.335262
762,62.578228
763,62.335262
764,62.53405
765,62.489872
766,62.51196
767,62.246925
768,62.51196
769,62.489872
770,62.66659
771,62.445694
772,62.60032
773,62.60032
774,62.51196
775,62.224842
776,62.423607
777,62.60032
778,62.246925
779,62.335262
780,62.51196
781,62.335262
782,62.688683
783,62.578228
784,62.335262
785,62.46778
786,62.51196
787,62.589275
788,62.66659
789,62.489872
790,62.324234
791,62.158596
792,62.158596
793,62.34632
794,62.53405
795,62.710777
796,62.567192
797,62.423607
798,62.379436
799,62.35735
800,62.335262
801,62.42361
802,62.51196
803,62.423607
804,62.445694
805,62.46778
806,62.335262
807,62.3279
808,62.32054
809,62.31318
810,62.423607
811,62.489876
812,62.55614
813,62.62241
814,62.66659
815,62.534065
816,62.401535
817,62.26901
818,62.37944
819,62.489872
820,62.46778
821,62.445694
822,62.511963
823,62.578228
824,62.545094
825,62.51196
826,62.46778
827,62.379436
828,62.51196
829,62.136513
830,62.60032
831,62.489872
832,62.51196
833,62.62241
834,62.556137
835,62.224842
836,62.46778
837,62.688683
838,62.40152
839,62.777058
840,62.51196
841,62.51196
842,62.335262
843,62.51196
844,62.423607
845,62.556137
846,62.224842
847,62.379436
848,62.423607
849,62.40152
850,62.51196
851,62.51196
852,62.754963
853,62.423607
854,62.35735
855,62.46778
856,62.489872
857,62.423607
858,62.46778
859,62.51196
860,62.445694
861,62.511963
862,62.578228
863,62.40152
864,62.368393
865,62.335262
866,62.335262
867,62.35735
868,62.379436
869,62.73287
870,62.534065
871,62.335262
872,62.6445
873,62.567184
874,62.489872
875,62.401527
876,62.31318
877,62.335262
878,62.39416
879,62.45306
880,62.51196
881,62.51196
882,62.51196
883,62.51196
884,62.51196
885,62.158596
886,62.28375
887,62.408897
888,62.53405
889,62.523003
890,62.51196
891,62.57823
892,62.6445
893,62.52301
894,62.40152
895,62.35735
896,62.31318
897,62.31318
898,62.53405
899,62.40152
900,62.489872
901,62.31318
902,62.379436
903,62.51196
904,62.489872
905,62.51196
906,62.66659
907,62.578228
908,62.51196
909,62.423607
910,62.46778
911,62.51196
912,62.60032
913,62.489872
914,62.335262
915,62.46778
916,62.66659
917,62.335262
918,62.423607
919,62.31318
920,62.51196
921,62.379436
922,62.31318
923,62.489872
924,62.60032
925,62.40152
926,62.40152
927,62.51196
928,62.445694
929,62.092354
930,62.31318
931,62.688683
932,62.35735
933,62.379436
934,62.60032
935,62.44571
936,62.291096
937,62.51196
938,62.42361
939,62.335262
940,62.346306
941,62.35735
942,62.489872
943,62.45306
944,62.41625
945,62.379436
946,62.578247
947,62.777058
948,62.567204
949,62.35735
950,62.42361
951,62.489872
952,62.58928
953,62.688683
954,62.66659
955,62.6445
956,62.35735
957,62.35735
958,62.53405
959,62.335262
960,62.60032
961,62.335262
962,62.31318
963,62.489872
964,62.31318
965,62.556137
966,62.51196
967,62.60032
968,62.51196
969,62.224842
970,62.51196
971,62.46778
972,62.335262
973,62.489872
974,62.31318
975,62.710777
976,62.31318
977,62.048195
978,62.423607
979,62.158596
980,62.578228
981,62.31318
982,62.489872
983,62.40152
984,62.335262
985,62.40152
986,62.62241
987,62.335262
988,62.578228
989,62.688683
990,62.578228
991,62.4457
992,62.31318
993,62.423607
994,62.45674
995,62.489872
996,62.60032
997,62.511963
998,62.423607
999,62.423607
1000,62.39048
1001,62.35735
1002,62.40152
1003,62.445694
1004,62.445694
1005,62.445694
1006,62.445694
1007,62.224842
1008,62.29846
1009,62.372078
1010,62.445694
1011,62.688683
1012,62.651863
1013,62.615047
1014,62.578228
1015,62.445694
1016,62.489872
1017,62.53405
1018,62.578228
1019,62.60032
1020,62.62241
1021,62.500923
1022,62.379436
1023,62.445698
1024,62.51196
1025,62.51196
1026,62.51196
1027,62.45674
1028,62.40152
1029,62.423607
1030,62.423607
1031,62.777058
1032,62.51196
1033,62.6445
1034,62.31318
1035,62.66659
1036,62.40152
1037,62.578228
1038,62.51196
1039,62.335262
1040,62.53405
1041,62.489872
1042,62.445694
1043,62.423607
1044,62.379436
1045,62.51196
1046,62.688683
1047,62.40152
1048,62.688683
1049,62.51196
1050,62.51196
1051,62.66659
1052,62.578228
1053,62.51196
1054,62.46778
1055,62.53405
1056,62.511963
1057,62.489872
1058,62.46778
1059,62.57823
1060,62.688683
1061,62.335262
1062,62.51197
1063,62.688683
1064,62.5451
1065,62.40152
1066,62.35735
1067,62.401524
1068,62.445698
1069,62.489872
1070,62.31318
1071,62.430984
1072,62.548786
1073,62.66659
1074,62.335262
1075,62.36471
1076,62.394157
1077,62.423607
1078,62.633476
1079,62.84334
1080,62.710785
1081,62.578228
1082,62.53405
1083,62.489872
1084,62.401527
1085,62.31318
1086,62.51196
1087,62.20276
1088,62.51196
1089,62.51196
1090,62.688683
1091,62.556137
1092,62.489872
1093,62.51196
1094,62.754963
1095,62.20276
1096,62.489872
1097,62.62241
1098,62.66659
1099,62.46778
1100,62.688683
1101,62.66659
1102,62.26901
1103,62.379436
1104,62.46778
1105,62.35735
1106,62.51196
1107,62.31318
1108,62.423607
1109,62.62241
1110,62.688683
1111,62.445694
1112,62.31318
1113,62.6445
1114,62.445694
1115,62.35735
1116,62.335262
1117,62.35735
1118,62.66659
1119,62.46778
1120,62.246925
1121,62.578228
1122,62.545094
1123,62.51196
1124,62.51196
1125,62.48987
1126,62.46778
1127,62.754963
1128,62.611374
1129,62.46778
1130,62.51196
1131,62.589275
1132,62.66659
1133,62.46778
1134,62.43465
1135,62.40152
1136,62.489872
1137,62.500916
1138,62.51196
1139,62.42361
1140,62.335262
1141,62.578228
1142,62.526688
1143,62.475147
1144,62.423607
1145,62.379436
1146,62.42361
1147,62.467785
1148,62.51196
1149,62.57823
1150,62.6445
1151,62.534054
1152,62.423607
1153,62.556145
1154,62.688683
1155,62.58928
1156,62.489872
1157,62.412567
1158,62.335262
1159,62.42361
1160,62.51196
1161,62.523003
1162,62.53405
1163,62.489872
1164,62.445694
1165,62.246925
1166,62.53405
1167,62.46778
